,,,,,,,,,,,,,,,,,
,name,builder,value,owner,flag,year_delivered,refit,length,beam,gross_tonnage,cruising_speed,top_speed,naval_architect,exterior_designer,interior_designer,rank,profile_picture
,Azzam,Lürssen Yachts (Germany),600 000 000 $,Mohammed bin Zayed Al Nahyan,United Arab Emirates,2013,,180.61m,20.8m,"13,136",12 kn,33 kn,Lürssen Yachts (Germany),Nauta Yachts S.R.L (Italy),Christophe Leoni (France),1,https://image.yachtcharterfleet.com/w1277/h618/qh/ca/m2/k1aa9e49e/vessel/resource/124097/charter-azzam-yacht.jpg
,Fulk Al Salamah,Mariotti Yachts (Italy),500 000 000 $,Sultan Haitam bin Tariq of Oman ,Oman,2016,,164m,28m,"11,000",15 kn,22 kn,Mariotti Yachts (Italy),Mariotti Yachts (Italy),Mariotti Yachts (Italy),2,https://image.yachtcharterfleet.com/w1277/h618/qh/ca/m2/kd474b1d5/vessel/resource/384707/charter-fulk-al-salamah-yacht.jpg
,Eclipse ,Blohm & Voss (Germany),700 000 000 $,Roman Abramovich (Russian),Bermuda,2010,2015,162.5m,22m,"13,500",20 kn,21 kn,Blohm & Voss (Germany),Terence Disdale (United Kingdom),Terence Disdale (United Kingdom),3,https://cdn.boatinternational.com/files/2021/05/cb78e590-b322-11eb-b59b-bfd1177c77f4-eclipse-exterior-do-not-use-outside-feature.jpg
,Dubai,Platinum (United Arab Emirates),500 000 000 $,Sheikh Mohammed,United Arab Emirates,2006,,162m,22m,"12,488",22 kn ,26 kn,Lürssen Yachts (Germany) & Blohm & Voss (Germany),Winch Design (United Kingdom),Winch Design (United Kingdom) & Nakheel Interiors (United Arab Emirates),4,"https://i6.superyachts.com/yacht-resource/4800?w=1400&h=912&t=62&r=1400&b=789&l=0&o=w%7B2%7Dcc%7B0,62,1400,789%7D "
,Blue,Lürssen Yachts (Germany),600 000 000 $,Sheikh Mansour bin Zayed al Nahyan,Cayman Islands,2022,,160.6m,22.5m,"14,785",18 kn ,20 kn,Lürssen Yachts (Germany),Terence Disdale (United Kingdom),Terence Disdale (United Kingdom),5,https://cdn.boatinternational.com/files/2022/07/4ada3cf0-fb73-11ec-a7d3-312ba35b37a1-project-blue-delivered.jpg 
,Dilbar,Lürssen Yachts (Germany),800 000 000 $ ,Alisher Umanov (Russian),Cayman Islands,2016,,156m,23.5m,"15,917",18 kn ,22.5 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),Winch Design (United Kingdom)  ,6,https://photos.superyachtapi.com/download/121447/large
,Al Said,Lürssen Yachts (Germany),600 000 000 $,Royal Family of Qatar,Oman,2008,,155m,24m,"15,850",,22 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),RWD (United Kingdom),7,"https://i6.superyachts.com/yacht-resource/10244?w=1200&h=797&t=61&r=1200&b=676&l=0&o=w%7B2%7Dcc%7B0,61,1200,676%7D "
,El Mahrousa,Samuda (United Kingdom),,Egyptian Government,Egypt,1865,,150.57m,13m,"4,560",13 kn ,16 kn,Sir Oliver Lang (England),Sir Oliver Lang (United Kingdom),,8,https://www.charterworld.com/images/yachts-1/Mahroussa%202.jpg 
,A +,Lürssen Yachts (Germany),450 000 000 $,Crown Prince Mohammed bin Salman of Saudi Arabia,Cayman Islands,2012,,147.25m,21.5m,"12,532",19.5 kn,22.9 kn,Lürssen Yachts (Germany),Tim Heywood Design (United Kingdom),Terence Disdale (United Kingdom),9,https://photos.superyachtapi.com/download/285779/large 
,Prince Abdulaziz,Helsingor Vaerft (Denmark),100 000 000 $,Prince Abdul Aziz bin Saud (member of the Saudi royal family),Marshall Islands,1984,2007,147.01m,18.3m,"8,233",18 kn ,22 kn,Maierform Maritime Technology (Germany),Maierform Maritime Technology (Germany),David Hicks (United Kingdom),10,https://cdn.boatinternational.com/images/20160317/1-105175l-2560x1440.jpg 
,Opera,Lürssen Yachts (Germany),450 000 000 $,Sheikh Abdullah bin Zayed Al Nahyan (member of the United Arab Emirates' founding family),Cayman Islands,2023,,146.35m,20m,"12,518",18 kn ,22 kn,Lürssen Yachts (Germany),Terence Disdale (United Kingdom),Terence Disdale (United Kingdom),11,https://cdn.boatinternational.com/files/2022/09/f1a82bc0-38c0-11ed-bfd2-9b397c39c72d-opera-yacht-undrway.jpg 
,Ok,Oshima Shipbuilding (Japan),,,Liberia,1982,Karmarine (Turkey) in 2022,146m,32.01m,"11,296",11.6 kn,13 kn,Oshima Shipbuilding  (Japan),Bozca Design (Turkey),,12,https://s1.cdn.autoevolution.com/images/news/gallery/the-highly-unorthodox-and-semi-submersible-ok-superyacht-is-recycling-done-right_5.jpg 
,Sailing Yacht A,Nobiskrug (Germany),600 000 000 $,Andrey Melnichenko (Russian),Sierra Leone,2017,,142.81m,24.88m,"12,700",14 kn ,21 kn,Nobiskrug (Germany) & Dykstra Naval Architects (The Netherlands),Philippe Starck (France),Philippe Starck (France),13,https://photos.superyachtapi.com/download/8511/large 
,Dragonfly,Lürssen Yachts (Germany),450 000 000 $,Sergey Brin (Russian),Cayman Islands,2024,,142.08m,20m,"9,408",,24 kn,Lürssen Yachts (Germany),German Frers (Argentina),Nauta design (Italy),14,https://image.yachtcharterfleet.com/w1277/h618/qh/ca/m2/k7d7a2ca2/vessel/resource/2790658/charter-dragonfly-yacht.jpg 
,Scheherazade,Lürssen Yachts (Germany),700 000 000 $,Eduard Khudainatov (Russian),Malaysia,2020,,141.96m,23.3m,"10,167",16 kn,18 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),François Zuretti (France),15,https://photos.superyachtapi.com/download/120948/large 
,Nord,Lürssen Yachts (Germany),500 000 000 $,Alexei Mordashov (Russian),Russian Federation,2021,,141.6m,19.5m,"10,154",15 kn,20 kn,Lürssen Yachts (Germany),Nuvolari Lenard (Italy),Nuvolari Lenard (Italy),16,https://cdn.boatinternational.com/files/2022/02/f6a42db0-909e-11ec-8243-9767fcd90f80-nord-credit-lester-prea-1.jpg 
,Yas,De Schelde (The Netherlands),180 000 000 $,Sheikh Hamdan bin Zayed al Nahyan (member of the Abu Dhabi royal family),Cayman Islands,2012,2020,141m,14.6m,"5,002",22 kn ,26 kn,Pierrejean Design Studio (France) & De Schelde (The Netherlands),Pierrejean Design Studio (France),Pierrejean Design Studio (France),17,https://cdn.boatinternational.com/convert/files/2021/10/b4324120-359e-11ec-8740-f3a33522d767-Yas-yacht-Peter-Seyfferth009.jpg/r%5Bwidth%5D=1920/b4324120-359e-11ec-8740-f3a33522d767-Yas-yacht-Peter-Seyfferth009.jpg 
,Ocean Victory,Fincantieri (Italy),300 000 000 $,Viktor Rashnikov (Russian),Cayman Islands,2014,,140m,20m,"8,506",18 kn ,25 kn,Espen Oeino International (Monaco),Espen Oeino International (Monaco),Alberto Pinto (France),18,https://www.filepicker.io/api/file/oTRnUxGMQTmYQLgYXkcs 
,Solaris,Lloyd Werft (Germany),600 000 000 $,Roman Abramovich (Russian),Bermuda,2021,,139.7m,22m,"11,247",15 kn,18 kn,Marc Newson (Australia),Marc Newson (Australia),Marc Newson (Australia),19,https://cdn.boatinternational.com/convert/files/2021/10/0b435910-3705-11ec-b058-15f381fc9477-Solaris-spotted.jpg/r%5Bwidth%5D=1920/0b435910-3705-11ec-b058-15f381fc9477-Solaris-spotted.jpg 
,Al Salamah,Lürssen Yachts (Germany),280 000 000 $,Royal Family of Saudi Arabia,Saudi Arabia,1999,,139.29m,23.5m,"12,234",17 kn,21.5 kn,Lürssen Yachts (Germany),Terence Disdale (United Kingdom),Terence Disdale (United Kingdom),20,https://www.superyachtfan.com/wp-content/uploads/2020/10/Al-Salamah-yacht-9.jpg 
,Luminance ,Lürssen Yachts (Germany),500 000 000 $,Rinat Akhmetov (Ukrainian),Cayman Islands,2024,,138.8m,20m,"9,861",15 kn,20 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),François Zuretti (France),21,https://photos.superyachtapi.com/download/286165/large 
,Rising Sun,Lürssen Yachts (Germany),400 000 000 $,David Geffen (American),Cayman Islands,2004,,138.01m,19m,"7,600",26 kn,30 kn,Lürssen Yachts (Germany),Jon Bannenberg (Australia/British),Laura Seccombe (USA),22,https://photos.superyachtapi.com/download/202258/large 
,Dhafi,Bremer Vulkan (Germany),,,Comoros,1987,,136.34m,21.04m,"10,797",19 kn,21 kn,Bremer Vulkan (Germany),Three Quays Marine (United Kingdom),,23,https://photos.superyachtapi.com/download/1009/large 
,Flying Fox,Lürssen Yachts (Germany),400 000 000 $,Dmitry Kamenshchik (Russian),Malaysia,2019,,136m,20.5m,"9,100",10 kn,20 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),Mark Berryman (United Kingdom),24,https://cdn.lurssen.com/images/new-build/the-yachts/flying-fox/header.jpg 
,Savarona ,Blohm & Voss (Germany),100 000 000 $,Government of Turkey ,Turkey,1931,1989,135.94m,16.12m,"4,701",16 kn,18 kn,Gibbs & Cox (USA),Gibbs & Cox (USA),Donald Starkey (USA),25,https://cdn.boatinternational.com/convert/files/2024/08/0a5df170-54b4-11ef-a1e1-67fb0fe4b074-savarona-refit-3.jpg/r%5Bwidth%5D=1920/0a5df170-54b4-11ef-a1e1-67fb0fe4b074-savarona-refit-3.jpg 
,Crescent,Lürssen Yachts (Germany),600 000 000 $,Igor Sechin (Russian),Cayman Islands,2018,,135.5m,21m,"9,194",12 kn,18 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),François Zuretti (France),26,https://image.yachtcharterfleet.com/w1450/h580/qh/cs0-256-1900-760/kab47e930/article/content/1685280/135m-lurssen-m-y-crescent-ex-project-thunder-delivered.jpg 
,Serene,Fincantieri (Italy),400 000 000 $,Crown Prince Mohammed bin Salman of Saudi Arabia,Cayman Islands,2011,,133.9m,18.6m,"8,231",14 kn ,18 kn,Espen Oeino International (Monaco),Espen Oeino International (Monaco),Reymond Langton Design (United Kingdom),27,https://cdn.boatinternational.com/files/2020/12/8f84d000-3bd9-11eb-957a-6996e21593a4-top-25-serene-credit-Marc-Paris.jpg 
,Al Mirqab,Peterswerft - Kusch (Germany),300 000 000 $,Sheikh Hamad bin Jassim bin Jaber al Thani (Qatar),Cayman Islands,2008,2014,133m,19.5m,"5,000",17 kn,20 kn,Kusch Yachts (Germany),Tim Heywood Design (United Kingdom),Winch Design (United Kingdom)  ,28,https://cdn.boatinternational.com/files/2021/10/1a6536d0-2da4-11ec-9e73-7dbc9065f39b-Al-Mirqab-PeterSeyfferth-yacht.jpg 
,Octopus,Lürssen Yachts (Germany),285 000 000 $,Roger Samuelsson (Swedish),Cayman Islands,2003,,126.2m,21.01m,"9,932",17 kn,19 kn,Espen Oeino International (Monaco),Espen Oeino International (Monaco),Jonathan Quinn Barnett (USA) & Monk Design (Switzerland),29,https://www.eyos-expeditions.com/wp-content/uploads/2023/08/1-OctopusxAntarctica2023-MosaicStudiosMattHardy-EYOS-500-1920x1080-LR.jpeg 
,Koru,Oceanco (The Netherlands),250 000 000 $,Jeff Bezos (American),Cayman Islands,2023,,125.82m,17.2m,"3,493",15 kn ,17 kn,Lateral Naval Architects (United Kingdom) & Dykstra Naval Architects (The Netherlands),Dykstra Naval Architects (The Netherlands),"Mlinaric, Henry & Zervudachi (United Kingdom)",30,https://cdn.boatinternational.com/files/2023/04/57ee2780-d92b-11ed-97e8-432aa6232e01-bezos-yacht-koru0underway.jpg 
,Britannia,Brown J (United Kingdom),,British Government,United Kingdom,1954,,125.64m,16.8m,"5,769",21 kn,22.8 kn,Dr. John Brown (United Kingdom),Dr. John Brown (United Kingdom),Sir Hugh Casson (United Kingdom),31,https://photos.superyachtapi.com/download/193964/large 
,Maryah,Elefsis Shipyard (Greece),250 000 000 $,Sheikh Tahnoon bin Zayed al Nahyan (member of the Abu Dhabi royal family),Cayman Islands,2014,,125m,17m,"5,650",15 kn,18 kn,Naos Ship & Boat Design (Italy),H2 Yacht Design (United Kingdom),H2 Yacht Design (United Kingdom),32,"https://i6.superyachts.com/yacht-resource/27548?w=4096&h=2556&t=2&r=4095&b=2308&l=1&o=w%7B2%7Dcc%7B1,2,4095,2308%7D "
,Katara,Lürssen Yachts (Germany),400 000 000 $,Sheikh Hamad bin Khalifa Al Thani (former Emir of Qatar),Qatar,2010,2016 after a fire in engine room,124.4m,19.5m,"8,010",16 kn,20 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),Alberto Pinto (France),33,https://cdn.lurssen.com/images/new-build/the-yachts/katara/header.jpg 
,Golden Odyssey,Lürssen Yachts (Germany),150 000 000 $,Chinese billionaire (for sale since September 2024),Bermuda,2015,2023,123.2m,20m,"7,600",11 kn,21 kn,Lürssen Yachts (Germany),Martin Francis (United Kingdom),Alberto Pinto (France),34,https://www.burgessyachts.com/web/vb/crop/5124908/y_-1_full.jpg?width=1200&format=webp&quality=60
,Al Lusail,Lürssen Yachts (Germany),500 000 000 $,Sheikh Tamim bin Hamad al Thani (Emir of Qatar),Qatar,2017,,123m,20m,"8,514",12 kn,19 kn,Lürssen Yachts (Germany),H2 Yacht Design (United Kingdom),March & White (United Kingdom),35,https://www.superyachtfan.com/wp-content/uploads/2020/10/yacht-al-lusail-6.jpg 
,Kismet,Lürssen Yachts (Germany),360 000 000 $,Shahid Khan (American),Marshall Islands,2024,,122m,17m,"4,918",,18 kn,Lürssen Yachts (Germany),Nuvolari Lenard (Italy),Reymond Langton Design (United Kingdom),36,"https://www.jacksonville.com/gcdn/authoring/authoring-images/2024/11/12/NFTU/76222516007-jki-111224-khan-yacht-14.jpg?crop=5999,3375,x0,y312&width=3200&height=1801&format=pjpg&auto=webp "
,Alexander,Lubecker Flender-Werke (Germany),150 000 000 $,Royal Family of Saudi Arabia,Malta,1965,,121.95m,16.9m,"5,933",16 kn,18 kn,Lubecker Flender-Werke (Germany),Lubecker Flender-Werke (Germany),Lubecker Flender-Werke (Germany),37,https://cdn.boatinternational.com/images/20160331/2-71465l-2560x1440.jpg 
,Project Y910,Stocznia Gdynia (Poland),,,,1990,,120m,17.4m,"6,000",,,McFarlane ShipDesign (Monaco),Cor D. Rover Design (The Netherlands),Winch Design (United Kingdom)  ,38,https://cdn.boatinternational.com/files/2021/08/a228a930-ff37-11eb-ad88-6301f032ecb4-project-y910-1.jpg 
,J7 Explorer,PT Bahtera Bahari (Indonesia),,,Indonesia,2022,,120m,18m,"8,076",12 kn,16 kn,PT Bahtera Bahari (Indonesia),,Grain & Green (Indonesia),39,https://cdn.boatinternational.com/convert/files/2025/03/20bce520-001c-11f0-8e21-8bb3249928bd-j7%20explorer-%2015136.JPG/r%5Bwidth%5D=1920/20bce520-001c-11f0-8e21-8bb3249928bd-j7%20explorer-%2015136.JPG 
,Motor Yacht A,Blohm & Voss (Germany),300 000 000 $,Andrey Melnichenko (Russian),Malaysia,2008,,119m,18.87m,"5,959",19 kn,23 kn,"Martin Francis (United Kingdom), Blohm & Voss (Germany)",Philippe Starck (France),Philippe Starck (France),40,"https://i6.superyachts.com/yacht-resource/31233?w=2000&h=1328&t=201&r=2000&b=1127&l=0&o=w%7B2%7Dcc%7B0,201,2000,1127%7D "
,Breakthrough,Feadship (The Netherlands),675 000 000 $,Bill Gates (American),Cayman Islands,2025,,118.8m,19m,"7,295",,17 kn,De Voogt Naval Architects (The Netherlands),RWD (United Kingdom),RWD (United Kingdom),41,https://photos.superyachtapi.com/download/334261/large 
,Liva O,Abeking & Rasmussen (Germany),250 000 000 $,"Stephen Orenstein (German born, US citizen who lives in Dubai)",Malta,2023,,118.2m,16.8m,"5,054",14 kn ,21 kn,Abeking & Rasmussen (Germany),Joseph Dirand Architecture (France),Joseph Dirand Architecture (France),42,https://cdn.boatinternational.com/convert/files/2023/08/d1965c40-382d-11ee-9bb9-93ddf0b9582a-liva-yacht-profile.jpg/r%5Bwidth%5D=1920/d1965c40-382d-11ee-9bb9-93ddf0b9582a-liva-yacht-profile.jpg
,Launchpad,Feadship (The Netherlands),300 000 000 $,Mark Zuckerberg (American),Marshall Islands,2024,,118m,19m,"5,528",12 kn,20 kn,De Voogt Naval Architects (The Netherlands),Espen Oeino International (Monaco),François Zuretti (France),43,https://cdn.boatinternational.com/files/2024/03/2268b630-e2c0-11ee-8da2-0d27a3aa6a3d-launchpad-gibraltar-giovanni-romero.jpg 
,M2 ,Severnav (Romania),,,Cayman Islands,2002,,117m,17.6m,"7,404",15 kn,17 kn,,,,44,https://photos.superyachtapi.com/download/237630/large 
,Infinity,Oceanco (The Netherlands),300 000 000 $,Eric Schmidt (American),Cayman Islands,2022,,117m,15.9m,"4,980",14 kn ,20 kn,Lateral Naval Architects (United Kingdom),Espen Oeino International (Monaco),Sinot Yacht Architecture & Design (The Netherlands),45,https://image.yachtbuyer.com/w1210/h694/qh/ca/kf52cdb76/vessel/resource/2212786/infinity-yacht-oceanco.jpg 
,Turama,Rauma-Repola (Finland),,,Saudi Arabia,1990,,116.4m,17.22m,"8,343",15 kn,18.5 kn,Rauma-Repola (Finland) & Alpha Marine (Greece) for the conversion from cruise ship to superyacht,Y. Kose (Turkey),,46,https://cdn.boatinternational.com/images/20160331/1-107381l-2560x1440.jpg 
,Multiverse,Kleven (Norway),275 000 000 $,Yuri Milner (Russian living in the US),Cayman Islands,2018,,116.15m,18m,"6,862",8 kn,12 kn,Marin Teknikk (Norway),Oscar Mike (New Zealand),"Oscar Mike (New Zealand), RWD (United Kingdom)",47,https://photos.superyachtapi.com/download/38910/large 
,Navtilvs,Hellenic Shipyards (Greece),,Yiannis D. Procopiou,Malta,1973,,115.76m,14.45m,"3,156.48",12 kn,14 kn,Maierform Maritime Technology (Germany),Prof. Cäsar Pinnau (Germany),Michael Sumner ,48,https://image.yachtcharterfleet.com/w1277/h618/qh/ca/m2/ka06f2040/vessel/resource/109932/charter-navtilvs-yacht.jpg 
,Atlantis II,Hellenic Shipyards (Greece),100 000 000 $,Philip Niarchos,Bermuda,1981,,115.76m,14.45m,"3,243",12 kn,14 kn,Maierform Maritime Technology (Germany),Prof. Cäsar Pinnau (Germany),Michael Sumner ,49,https://photos.superyachtapi.com/download/176991/extra-large 
,Lady Jorgia,Lürssen Yachts (Germany),350 000 000 $,Patrick Dovigi (Canadian),Marshall Islands,2021,,115.1m,18.21m,"5,257",12 kn,20 kn,Lürssen Yachts (Germany),Nuvolari Lenard (Italy),Nuvolari Lenard (Italy),50,https://smartyachts.com/upload/medialibrary/17d/6bhfoau1ppbohc26ombm9er1qm71yl8n.jpeg 
,Luna,Lloyd Werft (Germany),300 000 000 $,Farkhad Akhmedov (Azerbaijani and now a Russian oligarch),Marshall Islands,2010,2015/2016,115m,20m,"5,655",18 kn ,22.5 kn,Lloyd Werft (Germany),Newcruise (Germany),Donald Starkey (USA),51,https://www.boot-online.net/wp-content/uploads/2017/07/luna-yacht.jpg 
,Pelorus,Lürssen Yachts (Germany),200 000 000 $,Samuel Tak Lee (Hong-Kong based billionaire),Saint Vincent and the Grenadines,2003,,114.5m,17.2m,"5,317",17 kn,20 kn,Lürssen Yachts (Germany),Tim Heywood Design (United Kingdom),Terence Disdale (United Kingdom),52,https://cdn.lurssen.com/images/new-build/the-yachts/pelorus/header.jpg 
,Le Grand Bleu,Bremer Vulkan (Germany),150 000 000 $,Eugene Shvidler (Russian-American billionaire),Palau,2000,2016 at Blohm & Voss,112.8m,17.68m,"5,516",17.3 kn ,19 kn,Kusch Yachts (Germany),"Kono-Design, Kusch Yachts (Germany)","Luciano Di Pilla (Italy), Tnt, Bannenberg Design (United Kingdom)",53,https://cdn.boatinternational.com/images/20150306/1-69983l-2560x1440.jpg 
,Renaissance ,Freire (Spain),200 000 000 $,Gary Klesch (English-American),Cayman Islands,2023,,112m,18m,"7,200",12 kn,16 kn,Marin Teknikk (Norway),Bannenberg & Rowell (United Kingdom),Bannenberg & Rowell (United Kingdom),54,https://www.burgessyachts.com/web/vb/crop/2348349/x_52_full.jpg?width=1200&format=webp&quality=60 
,Alaiya,Lürssen Yachts (Germany),300 000 000 $,Lakshmi Mittal (Indian billionaire) ,Cayman Islands,2019,,111.5m ,16.85m,"4,699",,18 kn,Lürssen Yachts (Germany),Winch Design (United Kingdom),Winch Design (United Kingdom)  ,55,https://img.nauticexpo.fr/images_ne/photo-g/20209-17898113.jpg 
,Falkor (Too),Freire (Spain),75 000 000 $,Eric Schmidt (American),Cayman Islands,2011,,110.6m,20m,"7,497",12 kn,16 kn,Skipsteknisk (Norway),Skipsteknisk (Norway),,56,https://freireshipyard.com/wp-content/uploads/2023/07/El-Buque-Oceanografico-Falkor-Too-Navegando-en-Busca-de-Nuevas-Revelaciones-cientificas.jpg 
,Kaos,Oceanco (The Netherlands),300 000 000 $,Nancy  Walton Laurie (American),Jamaica,2017,,110.1m,16.4m,"4,523",15 kn,18.5 kn,Oceanco (The Netherlands) and BMT Nigel Gee (United Kingdom),Igor Lobanov (Russian with studio in Spain),Reymond Langton Design (United Kingdom),57,https://cdn.boatinternational.com/convert/files/2023/12/829e0530-9033-11ee-9dcf-d58b45a4474c-kaos-2-MichaelYachts.jpg/r%5Bwidth%5D=1920/829e0530-9033-11ee-9dcf-d58b45a4474c-kaos-2-MichaelYachts.jpg 
,Ambassador,Feadship (The Netherlands),250 000 000 $,Hong Kong based billionaire,Cayman Islands,2018,,110m,18.5m,"4,693",14 kn ,18 kn,Feadship De Voogt Naval Architects (The Netherlands),Michael Leach Design (United Kingdom),Michael Leach Design (United Kingdom),58,https://cdn.boatinternational.com/convert/files/2024/07/39a84310-3ddd-11ef-8cee-9fc5916e1df2-anna-st-tropez-raphael.jpg/r%5Bwidth%5D=1920/39a84310-3ddd-11ef-8cee-9fc5916e1df2-anna-st-tropez-raphael.jpg 
,Radiant ,Lürssen Yachts (Germany),300 000 000 $,Abdulla al Futtaim (Dubai),Cayman Islands,2009,2020,110m,16.3m,"5,027",16 kn ,21 kn,Lürssen Yachts (Germany),Tim Heywood Design (United Kingdom),Terence Disdale (United Kingdom),59,https://cdn.boatinternational.com/images/20160317/1-105177l-2560x1440.jpg 
,Al Raya,Lürssen Yachts (Germany),250 000 000 $,King Hamad bin Isa Al Khalifa (King of Bahrain),Cayman Islands,2008,,110m,16.3m,"5,150",18 kn ,21 kn,Lürssen Yachts (Germany),Tim Heywood Design (United Kingdom),Alberto Pinto (France),60,https://www.filepicker.io/api/file/V1e9fhOBQE7t6ttoOAZ3 
,Sea Cloud,Krupp Germaniawerft (Germany),,Boat operating as a cruise ship and property of Schiffahrtsgesellschaft Sea Cloud mbH & Co,Malta,1931,2011,109.5m,14.94m,"2,532",,10 kn,Cox & Stevens (USA),Cox & Stevens (USA),,61,https://cdn.boatinternational.com/convert/images/20160303/1-103119l-2560x1440.jpg/r%5Bwidth%5D=1920/1-103119l-2560x1440.jpg 
,Bravo Eugenia,Oceanco (The Netherlands),225 000 000 $,Jerry Jones (American billionaire and owner of the Dallas Cowboys NFL team),Cayman Islands,2018,,109m,16.3m,"3,418",14 kn ,18 kn,Lateral Naval Architects (United Kingdom),Nuvolari Lenard (Italy),Reymond Langton Design (United Kingdom),62,https://img.nauticexpo.fr/images_ne/photo-g/26305-17818642.jpg 
,Seven Seas,Oceanco (The Netherlands),250 000 000 $,Steven Spielberg ,Cayman Islands,2023,,109m,16m,"4,349",,,Lateral Naval Architects (United Kingdom),Sinot Yacht Architecture & Design (The Netherlands),Molly Isaksen Interiors (USA) and Sinot Yacht Architecture & Design (The Netherlands),63,https://cdn.boatinternational.com/files/2023/07/0637f130-1a41-11ee-bd26-55d31f111c6b-seven%20seas%20high%20res.jpg 
,I.J.E.,Benetti (Italy),200 000 000 $,James Packer (Australian),Marshall Islands,2019,,108m,14.5m,"3,600",14 kn ,19 kn,Benetti (Italy),RWD (United Kingdom),RWD (United Kingdom) & Benetti (Italy),64,https://benettiyachts.com/wp-content/uploads/2024/06/Benetti-Yachts-Custom-Ije-Exteriors-00-Overview-Alt.jpg 
,Luminosity,Benetti (Italy),135 000 000 $,Andrey Guryev (Russian oligarch),Cayman Islands,2020,,107.6m,17m,"5,844",12 kn,17 kn,Benetti (Italy),"Zaniz Interiors (United Kingdom), Giorgio M. Cassetta Design (Italy), Reymond Langton Design (United Kingdom) and Benetti (Italy)",Zaniz Interiors (United Kingdom),65,https://robbreport.com/wp-content/uploads/2020/08/lead-benetti-fb272_luminosity_exte-9.jpg?w=1000 
