,,,,,,,,,,,,,,,,,
,Asean Lady,Pride Mega Yachts (China),35 000 000 $,Vincent Tan (Malaysian) and Brian Chang (born in South Africa but lives in Singapore),Panama,2004,,88.15m,21.27m,"2,385",12 kn,15 kn,"Yantai Raffles (China), Ian Mitchell (Australia)",Nzami ,"Australian Motor Yachts (Australia), Zhaoxin (China), Xiangqun (China), Annie Chang (China)",123,https://www.superyachtfan.com/wp-content/uploads/2021/02/yacht-Asean-Lady-Yantai-Raffles-2004-Brian-Chang-10.webp 
,Maltese Falcon,Perini Navi (Italy) but built in Turkey,75 000 000 $,Elena Ambrosiadou (born in Greece and moved to the UK),Malta,2006,,88m,12.6m,"1,112",14 kn ,18 kn,"Dykstra Naval Architects (The Netherlands), Perini Navi (Italy)",Ken Freivokh Design (United Kingdom),"Sinnex (Austria), Ken Freivokh Design (United Kingdom), Perini Navi (Italy)",124,"https://i6.superyachts.com/yacht-resource/43323?w=5158&h=3439&t=330&r=5158&b=2901&l=0&o=w{2}cc{0,330,5158,2901} "
,Musashi,Feadship (The Netherlands),160 000 000 $,"Lary Ellison (US billionaire, co-founder of Oracle)",Cayman Islands,2011,,87.78m,13.9m,"2,463",18 kn ,20.9 kn,Feadship De Voogt Naval Architects (The Netherlands),Feadship De Voogt Naval Architects (The Netherlands),Sinot Yacht Architecture & Design (The Netherlands),125,https://cdn.boatinternational.com/files/2021/10/9e2c35e0-35ab-11ec-9307-bde532251302-musashi-feadship-running-2.jpg 
,Fountainhead,Feadship (The Netherlands),130 000 000 $,Eddie Lampert (US billionaire),Cayman Islands,2011,,87.78m,13.9m,"2,463",15 kn,21 kn,Feadship De Voogt Naval Architects (The Netherlands),Feadship De Voogt Naval Architects (The Netherlands),Sinot Yacht Architecture & Design (The Netherlands),126,https://www.superyachtfan.com/wp-content/uploads/2020/10/MY-Fountainhead-88m-Feadship-3.webp 
,Project X,Golden Yachts (Greece),150 000 000 $,,Malta,2022,,87.6m,14.8m,"2,974",12 kn,18 kn,Marco Yachts (Chile),Ken Freivokh Design (United Kingdom),Massari Design (Italy),127,https://cdn.boatinternational.com/listing/2024/06/5625cf50-2f12-11ef-9348-11c9ba817a26-PROJECTX-6436-Theatro0000.jpg 
,Arctic P,Schichau-Unterweser (Germany),80 000 000 $,Gretel Packer (Australian business woman),Bahamas,1969,Massive refit in 2015 by Kusch  with conversion to superyacht,87.57m,14.78m,"2,610",15 kn,18 kn,Schichau-Unterweser (Germany),Schichau-Unterweser (Germany),"Adrian Sassoon (United Kingdom), Cath Kidston (United Kingdom)",128,https://cdn.boatinternational.com/convert/images/20160401/1-107503l-2560x1440.jpg/r%5Bwidth%5D=1920/1-107503l-2560x1440.jpg 
,OceanXplorer,Freire (Spain),200 000 000 $,Ray Dalio (US billionaire),Marshall Islands,2010,,87.1m,18m,"5,399",14 kn ,16.5 kn,Skipsteknisk (Norway),"Gresham Yacht Design (United Kingdom), Skipsteknisk (Norway)","Gresham Yacht Design (United Kingdom), Christina Fallah Design (United Kingdom)",129,https://cdn.boatinternational.com/files/2021/02/ce13f530-6ac8-11eb-977f-b186d6d08249-OceanXplorer-expedition-yacht-2.jpg 
,Avantage,Lürssen Yachts (Germany),200 000 000 $,Bulat Utemuratov (Kazakh billionaire),Cayman Islands,2020,,87m,13.8m,"2,950",12 kn,16 kn,Lürssen Yachts (Germany),Bannenberg & Rowell (United Kingdom),Bannenberg & Rowell (United Kingdom),130,https://www.filepicker.io/api/file/0IUEZIyHRpKnfGG514SQ 
,Lonian,Feadship (The Netherlands),160 000 000 $,"Lorenzo Fertitta (former CEO of UFC, american billionaire)",Cayman Islands,2018,,87m,13.8m,"2,700",14 kn ,16 kn,Feadship De Voogt Naval Architects (The Netherlands),Sinot Yacht Architecture & Design (The Netherlands),"Richard Hallberg Interior Design (USA), Sinot Yacht Architecture & Design (The Netherlands)",131,https://www.superyachtfan.com/wp-content/uploads/2020/10/yacht-lonian-2.webp 
,Quattroelle,Lürssen Yachts (Germany),180 000 000 $,Sheikh Hamdan bin Mohammed Al Maktoum (Crown Prince of Dubai),Cayman Islands,2013,,86.11m,13.8m,"2,925",15 kn,18 kn,Lürssen Yachts (Germany),Nuvolari Lenard (Italy),Nuvolari Lenard (Italy),132,https://cdn.lurssen.com/images/new-build/the-yachts/quattroelle/header.jpg 
,Chakra,Van Der Werf (The Netherlands),60 000 000 $,Saudi businessman,Saint Vincent and the Grenadines,1963,Converted into a superyacht in the 1990's,86m,12.83m,"2,083",14 kn ,15 kn,Van Der Werf (The Netherlands),Devonport (United Kingdom),Devonport (United Kingdom),133,https://photos.superyachtapi.com/download/10000/large 
,Man of Steel,Oceanco (The Netherlands),150 000 000 $,Barry Zekelman (Canadian Billionaire),Cayman Islands,2010,,86m,14.2m,"2,658",16 kn,20 kn,"Oceanco (The Netherlands),  Azure Yacht Design and Naval Architecture (The Netherlands)",Nuvolari Lenard (Italy),"Nuvolari Lenard (Italy), Molly Isaksen Interiors (USA)",134,https://cdn.boatinternational.com/listing/2022/04/0e65b5f0-b4c0-11ec-861c-77522437b948-MAN%20OF%20STEEL_superyacht_for_sale_charter_01.jpg 
,Ecstasea,Feadship (The Netherlands),120 000 000 $ ,Alshair Fiyaz (Pakistani born billionaire),Cayman Islands,2004,,85.95m,11.5m,"2,107",25 kn ,33 kn,Feadship De Voogt Naval Architects (The Netherlands),Feadship De Voogt Naval Architects (The Netherlands),Terence Disdale (United Kingdom),135,https://d2adoy6vr915pu.cloudfront.net/eyJidWNrZXQiOiJzdG9tcC1mZWFkc2hpcC1wcm9kIiwia2V5IjoiY3JhZnRcL3lhY2h0c1wvaW1hZ2VzXC94dGNfZ3QuanBnIiwiZWRpdHMiOnsianBlZyI6eyJxdWFsaXR5Ijo4NSwidHJlbGxpc1F1YW50aXNhdGlvbiI6dHJ1ZSwib3ZlcnNob290RGVyaW5naW5nIjp0cnVlLCJvcHRpbWl6ZVNjYW5zIjp0cnVlfSwicmVzaXplIjp7IndpZHRoIjoxOTIwLCJmaXQiOiJjb250YWluIn19fQ== 
,Aquijo,Oceanco (The Netherlands) and Vitters (The Netherlands),100 000 000 $,Juergen Grossmann (German billionaire),Cayman Islands,2016,,85.9m,14.48m,"1,538",15 kn,17 kn,Bill Tripp (USA and The Netherlands),Bill Tripp (USA and The Netherlands),Doelker & Voges (Germany),136,https://www.superyachtfan.com/wp-content/uploads/2021/04/yacht-Aquijo-2016-Jurgen-Grossman-5.webp 
,Kingdom 5KR,Benetti (Italy),90 000 000 $,Prince Al Waleed bin Talal al Saud (member of Saudi Royal Family),Saudi Arabia,1980,,85.9m,13.23m,"1,768",17 kn,20 kn,Benetti (Italy),Jon Bannenberg (Australia/British),Luigi Sturchio (Italy),137,https://www.shipspotting.com/photos/big/8/4/6/2092648.jpg?cb=0 
,HBC,Abeking & Rasmussen (Germany),90 000 000 $,Member of Saudi Royal Family,United Kingdom,2008,,85.65m,12.4m,"2,150",15 kn,16.5 kn,Abeking & Rasmussen (Germany),Reymond Langton Design (United Kingdom),Reymond Langton Design (United Kingdom),138,https://cdn.boatinternational.com/listing/2024/12/96ad1c90-b167-11ef-a6c6-491cb76a0430-HBC-9434-Superyacht_For_Sale_Charter-0000.jpg 
,Amore Vero,Oceanco (The Netherlands),120 000 000 $ ,,Malaysia,2013,,85.6m,14.2m,"2,684",15 kn,18.5 kn,"Oceanco (The Netherlands),  Azure Yacht Design and Naval Architecture (The Netherlands)",Igor Lobanov (Russian with studio in Spain),Alberto Pinto (France),139,https://s3-eu-west-1.amazonaws.com/cilent-imports.bi.artirix.com/40058_100-st-princess-olga-yacht-exterior.jpg 
,Aquila,Derecktor (USA),150 000 000 $,"Ann Walton (daughter of Bud Walton, founder of Wallmart, US business woman)",Isle of Man,2010,Refit done in 2016 at Pandennis shipyard,85.6m,14.3m,"2,998",14 kn ,17 kn,Azure Yacht Design and Naval Architecture (The Netherlands),Tim Heywood Design (United Kingdom),Liz Dalton (USA),140,https://www.luxurychartergroup.com/cms/uploads/luxury-charter-yacht-aquila-profile_001.jpg 
,Sunrays,Oceanco (The Netherlands),150 000 000 $,Ravi Ruia (Indian billionaire),Cayman Islands,2010,,85.5m,14.2m,"2,867",16 kn,20 kn,"Oceanco (The Netherlands),  Azure Yacht Design and Naval Architecture (The Netherlands)",Bjorn Johansson (United Kingdom),Terence Disdale (United Kingdom),141,https://img.nauticexpo.fr/images_ne/photo-g/26305-17819476.webp 
,Vibrant Curiosity,Oceanco (The Netherlands),150 000 000 $,Reinhold Würth (German billionaire),Malta,2009,,85.47m,14.2m,"2,822",16 kn,20 kn,"Oceanco (The Netherlands),  Azure Yacht Design and Naval Architecture (The Netherlands)",Nuvolari Lenard (Italy),Nuvolari Lenard (Italy),142,"https://i6.superyachts.com/yacht-resource/16997?w=1600&h=1050&t=75&r=1600&b=901&l=0&o=w{2}cc{0,75,1600,901} "
,Bold,SilverYachts (Australia),100 000 000 $,Guido Krass (Swiss),Marshall Islands,2019,,85.3m,11m,"1,551",18 kn ,23 kn,"SilverYachts (Australia), Espen Oeino International (Monaco)",Espen Oeino International (Monaco),SilverYachts (Australia),143,"https://i6.superyachts.com/yacht-resource/45764?w=3000&h=2000&t=156&r=3000&b=1690&l=0&o=w{2}cc{0,156,3000,1690} "
,Wanderlust,SilverYachts (Australia),100 000 000 $,Yim Leak (Cambodian real estate developer),Marshall Islands,2022,,85.3m,11m,"1,561",18 kn ,23 kn,SilverYachts (Australia) ,Espen Oeino International (Monaco),SilverYachts (Australia),144,https://www.burgessyachts.com/web/vb/crop/2119532/x_100_full.jpg?width=1096&format=webp&quality=60 
,Pacific X,Lürssen Yachts (Germany),150 000 000 $,Leonid Mikhelson (Russian billionaire),Malaysia,2010,,85.2m,16m,"2,959",15 kn,20 kn,Lürssen Yachts (Germany),German Frers (Argentina),Bannenberg & Rowell (United Kingdom),145,https://cdn.boatinternational.com/convert/images/20160905/2-71895l-2560x1440.jpg/r%5Bwidth%5D=1920/2-71895l-2560x1440.jpg 
,Meridian A,Lürssen Yachts (Germany),100 000 000 $,"Sergey Chemenov (Russian billionaire, close to Putin)",Saint Vincent and the Grenadines,2011,,85.1m,14.28m,"2,755",12.5 kn,17 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),Reymond Langton Design (United Kingdom),146,https://cdn.boatinternational.com/convert/images/20160905/2-71883l-2560x1440.jpg/r%5Bwidth%5D=1920/2-71883l-2560x1440.jpg 
,Solandge,Lürssen Yachts (Germany),150 000 000 $,Prince Muqrin bin Abdulaziz of Saudi Arabia,Malta,2013,,85.1m,13.8m,"2,899",15 kn,17.5 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),Aileen Rodriguez (USA),147,https://www.arthaudyachting.com/wp-content/uploads/2022/11/Yacht-charter-M-Y-SOLANDGE_17.jpg 
,Victorious,AKYACHT (Turkey),135 000 000 $,Vural Ak (Turkish entrepreneur and owner of AKYACHT),Cayman Islands,2021,,85m,14.2m,"2,291",14 kn ,16 kn,Marco Yachts (Chile),Michael Leach Design (United Kingdom),H2 Yacht Design (United Kingdom),148,https://cdn.boatinternational.com/convert/files/2022/06/37f2af80-eb08-11ec-b548-c77627c0e618-victorious-credit-Blueiprod-3.jpg/r%5Bwidth%5D=1920/37f2af80-eb08-11ec-b548-c77627c0e618-victorious-credit-Blueiprod-3.jpg 
,Eye,Lürssen Yachts (Germany),160 000 000 $,,Cayman Islands,2012,Completely rebuild in 2022 at MB92 yard,85m,14.5m,"2,732",14 kn ,16.5 kn,Lürssen Yachts (Germany),Winch Design (United Kingdom),Winch Design (United Kingdom)  ,149,https://cdn.boatinternational.com/files/2024/03/2cfa10c0-e780-11ee-8e40-3fa89c12dadb-eye-spotted.jpg 
,Gigia,Lürssen Yachts (Germany),200 000 000 $,,Cayman Islands,2017,,85m,14.8m,"2,850",15 kn,17 kn,Lürssen Yachts (Germany),Winch Design (United Kingdom),Winch Design (United Kingdom)  ,150,https://cdn.boatinternational.com/listing/2024/01/6818b510-b14a-11ee-9c78-9964a7286cc8-GIGIA-10248_Superyacht_For_Sale_Charter0001.jpg 
,O'Ptasia,Golden Yachts (Greece),100 000 000 $,Paris Dragnis (Greek owner and chairman of Golden Yachts shipyard),Malta,2018,,84.73m,13.8m,"2,342",12 kn,16 kn,Golden Yachts (Greece),Studio Vafiadis (Italy),Studio Vafiadis (Italy),151,https://www.burgessyachts.com/web/vb/crop/1534297/x_54_full.jpg?width=1200&format=webp&quality=60 
,Obsidian,Feadship (The Netherlands),180 000 000 $,Karel Komarek (Czech billionaire),Cayman Islands,2023,,84.2m,13.6m,"2,555",12 kn,17 kn,Feadship De Voogt Naval Architects (The Netherlands),Monk Design (Switzerland) and RWD (United Kingdom),Monk Design (Switzerland) and RWD (United Kingdom),152,https://cdn.boatinternational.com/files/2023/07/21e1ca00-1c9e-11ee-bc0b-37f0c81f97f1-obsidian%20underway.jpg 
,White Rabbit,Echo Yachts (Australia),100 000 000 $,Goh Chen Liang (Singapore-based billionaire),Cook Islands,2018,,84m,20m,"2,940",14 kn ,19 kn,One2Three (Australia),Sam Sorgiovanni (Australia),Sam Sorgiovanni (Australia),153,https://cdn.boatinternational.com/bi_prd/bi/library_images/L7UdGL1NRiCziSI87xXw_White%20Rabbit%20Higher%20Qtr.jpg 
,Savannah,Feadship (The Netherlands),140 000 000 $,"Lukas Lundin (Swedish-Canadian, died in 2022)",Marshall Islands,2015,,83.5m,12.5m,"2,250",,17 kn,Feadship De Voogt Naval Architects (The Netherlands),"Feadship De Voogt Naval Architects (The Netherlands), Cristina Gherardi Design (Italy)",Cristina Gherardi Design (Italy),154,https://upload.wikimedia.org/wikipedia/commons/e/e6/Large_yacht_Savannah_in_the_gulf_of_la_Spezia.jpg 
,Dannebrog,Danish Royal Dockyard (Denmark),,King Frederic X of Denmark,Denmark,1931,,83.21m,10.39m,"1,054",14 kn ,15 kn,Danish Royal Dockyard (Denmark),Danish Royal Dockyard (Denmark),Danish Royal Dockyard (Denmark),155,https://www.filepicker.io/api/file/R78ZZu2uQeSXCzgHHQXj 
,Sakura,Feadship (The Netherlands),,,Cayman Islands,2024,,82.9m,12.5m,"2,128",12 kn,15 kn,Feadship De Voogt Naval Architects (The Netherlands),,Sinot Yacht Architecture & Design (The Netherlands),156,https://cdn.boatinternational.com/convert/files/2024/08/892b90f0-50d3-11ef-aa33-8d365d08bf08-sakura-theyachtphoto.jpg/r%5Bwidth%5D=1920/892b90f0-50d3-11ef-aa33-8d365d08bf08-sakura-theyachtphoto.jpg 
,Gaia Blu,Orenstein & Koppel (Germany),,,Italy,1981,,82.9m,13m,"2,024",12 kn,19.8 kn,Orenstein & Koppel (Germany),Orenstein & Koppel (Germany),,157,https://cdn.boatinternational.com/convert/files/2023/03/46572760-bf27-11ed-b4ee-c79bdc7fd0c8-GAIA%20BLU-Orenstein%20%26%20Koppel.jpg/r%5Bwidth%5D=1920/46572760-bf27-11ed-b4ee-c79bdc7fd0c8-GAIA%20BLU-Orenstein%20%26%20Koppel.jpg 
,Talitha,Krupp Germaniawerft (Germany),50 000 000 $,Mark Getty (French-Irish founder of Getty Images),Bermuda,1930,,82.6m,10.36m,"1,103",13 kn ,14.6 kn,Cox & Stevens (USA),Cox & Stevens (USA),Jon Bannenberg (Australia/British),158,https://s3-eu-west-1.amazonaws.com/cilent-imports.bi.artirix.com/12310_100-talitha-yacht-exterior.jpg 
,Emir,Mitsubishi HI (Japan),60 000 000 $,Nidal Karameh (Nigerian),Greece,1985,,82.5m,11.58m,"1,810",15 kn,17 kn,Mitsubishi HI (Japan),Studio Vafiadis (Italy),Studio Vafiadis (Italy),159,https://cdn.boatinternational.com/convert/images/20160331/1-107315l-2560x1440.jpg/r%5Bwidth%5D=1920/1-107315l-2560x1440.jpg 
,Sea Pearl,Abeking & Rasmussen (Germany),110 000 000 $,Sri Prakash Lohia (Indian billionaire),Cayman Islands,2013,,82.48m,12.4m,"2,108",12 kn,13 kn,Abeking & Rasmussen (Germany),Sam Sorgiovanni (Australia),Jim Harris (USA),160,https://image.yachtcharterfleet.com/w1277/h618/qh/ca/m2/k2c1f9c1b/vessel/resource/1016595/charter-sea-pearl-yacht.jpg 
,RoMea,Abeking & Rasmussen (Germany),125 000 000 $,,Cayman Islands,2015,,82.4m,12.6m,"2,300",14 kn ,18 kn,Abeking & Rasmussen (Germany),Terence Disdale (United Kingdom),Terence Disdale (United Kingdom),161,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Yacht_Cape_Greco.jpg/1200px-Yacht_Cape_Greco.jpg 
,Kosatka,Blohm & Voss (Germany),100 000 000 $,Russian government (high chances that is Vladimir Putin yacht's),Russian Federation,2014,,82m,11m,"2,500",16 kn,18 kn,Agat Design Bureau (Russia),"Gresham Yacht Design (United Kingdom), H2 Yacht Design (United Kingdom)",H2 Yacht Design (United Kingdom),162,https://www.superyachtfan.com/wp-content/uploads/2020/11/yacht-Graceful-8.webp 
,Pure,Devonport (United Kingdom),65 000 000 $,Olivier Leclercq (French and son of Decathlon founder),Cayman Islands,2008,,82m,15m,"3,200",14 kn ,16.5 kn,"Burness Corlett (United Kingdom), Three Quays Marine (United Kingdom)",Winch Design (United Kingdom),Winch Design (United Kingdom)  ,163,https://image.yachtcharterfleet.com/w1277/h618/qh/ca/m2/k25b42e85/vessel/resource/637/charter-pure-yacht.jpg 
,Basrah Breeze,Helsingor Vaerft (Denmark),Abandoned ship,Previous yacht of Saddam Hussein ,Iraq,1981,,82m,13.02m,"2,282",16 kn ,19.3 kn,Helsingor Vaerft (Denmark),Helsingor Vaerft (Denmark),Helsingor Vaerft (Denmark),164,https://cdn.boatinternational.com/convert/files/2021/06/10fdfbd0-d35a-11eb-922c-a95d91958631-saddam-hussein-yacht-2.jpg/r%5Bwidth%5D=1920/10fdfbd0-d35a-11eb-922c-a95d91958631-saddam-hussein-yacht-2.jpg 
,Ilona,Amels (The Netherlands),100 000 000 $,Frank Lowy (Founder of Westfield Corporation),Cayman Islands,2003,Refit done at Amels yard in 2016,82m,12.1m,"1,836",13 kn ,19 kn,Amels (The Netherlands) ,RWD (United Kingdom),RWD (United Kingdom),165,https://cdn.boatinternational.com/convert/images/20160421/1-110705l-2560x1440.jpg/r%5Bwidth%5D=1920/1-110705l-2560x1440.jpg 
,Haven ,Lürssen Yachts (Germany),150 000 000 $,US billionaire,Marshall Islands,2024,,82m,12.5m,"2,115",11 kn,13.5 kn,Lürssen Yachts (Germany),Lürssen Yachts (Germany),RWD (United Kingdom),166,https://cdn.boatinternational.com/convert/files/2024/02/f5ec0970-d579-11ee-925e-b78e9299e81c-cali-yacht-2.jpg/r%5Bwidth%5D=1920/f5ec0970-d579-11ee-925e-b78e9299e81c-cali-yacht-2.jpg 
,Grace,Abeking & Rasmussen (Germany),140 000 000 $,John Reece (British billionaire),Cayman Islands,2014,,81.8m,12.6m,"2,300",12 kn,16.5 kn,Abeking & Rasmussen (Germany),Terence Disdale (United Kingdom),Terence Disdale (United Kingdom),167,https://image.yachtbuyer.com/w1210/h694/qh/ca/k4ab84160/vessel/resource/2123996/grace-yacht-abeking-and-rasmussen.jpg 
,Alfa Nero,Oceanco (The Netherlands),120 000 000 $ ,Andrey Guryev (Russian oligarch),Malta,2007,,81.27m,14.2m,"2,159",17 kn,20 kn,"Oceanco (The Netherlands),  Azure Yacht Design and Naval Architecture (The Netherlands)",Nuvolari Lenard (Italy),Alberto Pinto (France),168,"https://images.charterindex.com/527d9134-fab1-4b49-9bc9-e1ad4d025af3.jpg?auto=format,compress&q=50&lossless=true "
,Air,Feadship (The Netherlands),120 000 000 $ ,Augusto Perfetti (Italian),Malta,2011,,81m,14m,"1,893",15 kn,17.5 kn,Feadship De Voogt Naval Architects (The Netherlands),Feadship De Voogt Naval Architects (The Netherlands),Rémi Tessier (France),169,https://www.superyachtfan.com/wp-content/uploads/2020/10/yacht-Air-81m-Feadship-10.webp 
,Sea Eagle,Royal Huisman (The Netherlands),100 000 000 $,Dr Samuel Yin (Taiwainese billionaire),Cayman Islands,2020,,81m,12m,"1,150",12.5 kn,22 kn,Dykstra Naval Architects (The Netherlands),"Mark Whiteley (United Kingdom),  Dykstra Naval Architects (The Netherlands)",Mark Whiteley (United Kingdom),170,https://www.barchemagazine.com/wp-content/uploads/2023/12/Sea-Eagle-II-by-Royal-Huisman.jpg 
,Bart Roberts ,Canadian Vickers (Canada),30 000 000 $,Royal Family of Dubai,Cayman Islands,1963,,80.77m,12.8m,"1,960",11 kn,13 kn,Canadian Vickers (Canada),Lennart Edstrom (Sweden),"Karen Bamford, Tradepower International (USA)",171,https://www.superyachtfan.com/wp-content/uploads/2021/03/yacht-Bart-Roberts-Canadian-Vickers-1963-Royal-Family-of-Dubai-7-1024x622.webp 
,Norge,Camper & Nicholsons (United Kingdom),50 000 000 $,King Harald of Norway,Norway,1937,,80.16m,11.58m,"1,628",14 kn ,17 kn,Charles E. Nicholson (United Kingdom),Charles E. Nicholson (United Kingdom),Finn Nilsson (Sweden),172,"https://i6.superyachts.com/yacht-resource/1448?w=1600&h=1200&t=73&r=1600&b=901&l=0&o=w{2}cc{0,73,1600,901} "
,Grand Ocean,Blohm & Voss (Germany),60 000 000 $,,Bermuda,1990,,80.15m,12.8m,"1,855",16 kn,18 kn,"J.F. Platou (Norway), Blohm & Voss (Germany)","J.F. Platou (Norway), Amble Associates ",Alberto Pinto (France),173,https://photos.superyachtapi.com/download/4841/large 
,Wingman,Damen Yachting (The Netherlands) but boat built in UAE,100 000 000 $,Mark Zuckerberg (American),Marshall Islands,2022,,80.1m,16.2m,"3,435",11 kn,13.5 kn,"Damen Yachting (The Netherlands), Azure Yacht Design & Naval Architecture (The Netherlands)","Damen Yachting (The Netherlands), Tam Elder Design (Australia), Azure Yacht Design & Naval Architecture (The Netherlands)",Damen Yachting (The Netherlands),174,https://www.burgessyachts.com/media-library/media/burgess/yachts/u-81%2010002559/u-81-original-f607b6bd-33a1-44fd-abc3-c6762d3c216a.jpeg?format=webp&quality=60&v=202504241515 
,My Genesis,Heesen Yachts (The Netherlands),,,Cayman Islands,2023,,80.07m,13.4m,"1,700",22 kn ,29 kn,Van Oossanen Naval Architects (The Netherlands),Winch Design (United Kingdom),Sinot Yacht Architecture & Design (The Netherlands),175,https://image.yachtcharterfleet.com/w1200/h779/qh/ca/keb535ba9/vessel/resource/2390137/charter-genesis-yacht-1.jpg 
,Elements ,Yachtley (Turkey),125 000 000 $,Fahad al Athel (Saudi Arabia),Malta,2019,,80m,12.8m,"2,443",17 kn,18.4 kn,"Yachtley (Turkey), Alpha Marine (Greece)",Alpha Marine (Greece),Cristiano Gatto Design (Italy),176,https://image.yachtcharterfleet.com/w1277/h618/qh/ca/m2/k005745de/vessel/resource/2412286/charter-elements-yacht.jpg 
,Yasmine of the sea,Oceanco (The Netherlands),100 000 000 $,,Bahamas,2001,,80m,13m,"1,723",20 kn,24 kn,Oceanco (The Netherlands),The A Group (Monaco),"The A Group (Monaco), Camillo Costantini (Italy)",177,https://upload.wikimedia.org/wikipedia/commons/b/bf/Stargate.JPG 
,Constellation,Oceanco (The Netherlands),100 000 000 $,,Qatar,1999,,80m,13.02m,"1,709",20 kn,24 kn,Oceanco (The Netherlands),The A Group (Monaco),"The A Group (Monaco), Jean-Pierre Fantini (France)",178,"https://i6.superyachts.com/yacht-resource/1401?w=750&h=500&t=76&r=750&b=423&l=0&o=w{2}cc{0,76,750,423} "
,Batello,Oceanco (The Netherlands),80 000 000 $,US owner,Marshall Islands,2007,,80m,14.2m,"2,310",16 kn,20 kn,"Oceanco (The Netherlands),  Azure Yacht Design and Naval Architecture (The Netherlands)",Nuvolari Lenard (Italy),Alberto Pinto (France),179,https://cdn.boatinternational.com/convert/files/2025/04/0d1bb600-0efd-11f0-b53b-556b40adb8e1-batello-refit-4.jpg/r%5Bwidth%5D=1920/0d1bb600-0efd-11f0-b53b-556b40adb8e1-batello-refit-4.jpg 
,Artefact,Nobiskrug (Germany),150 000 000 $,Mike Lazaridis (BlackBerry founder and Canadian),Marshall Islands,2020,,80m,16.82m,"2,999",12 kn,17.5 kn,Nobiskrug (Germany)  ,Gregory C. Marshall (Canada),Reymond Langton Design (United Kingdom),180,https://cdn.boatinternational.com/files/2021/05/902ee990-bf29-11eb-a38c-6f720ff20a6d-artefact-wsa.jpg 
,Chopi Chopi,CRN (Italy),125 000 000 $,Taha Mikati (Lebanese billionaire),Cayman Islands,2013,,80m,13.5m,"2,363",12 kn,15 kn,CRN (Italy),Zuccon International Project (Italy),Laura Sessa Design (Italy),181,https://frg-fwm.azurewebsites.net/asset/fwm/Upload/Models/Images/PhotoGallery/CRN/ZOOM/77132.jpg 
,Leona,Bilgin (Turkey),60 000 000 $,Member of Saudi Royal Family,Cayman Islands,2023,,80m,12.25m,"1,722",15 kn,19 kn,Unique Yacht Design (Turkey),Unique Yacht Design (Turkey),H2 Yacht Design (United Kingdom),182,https://cdn.boatinternational.com/files/2023/08/463b7e80-36c7-11ee-a664-750baffd3c6a-leona%20credit%20eray%20altay.jpg 
,Tatiana,Bilgin (Turkey),100 000 000 $,Shapoor Mistry (Indian),Cook Islands,2021,,80m,12.2m,"1,689",15 kn,20 kn,Unique Yacht Design (Turkey),Unique Yacht Design (Turkey),H2 Yacht Design (United Kingdom),183,https://cdn.boatinternational.com/convert/files/2020/08/7dd9af90-de11-11ea-ae0b-750b7d88fab7-Tatiana-yacht-Bilgin-2.jpg/r%5Bwidth%5D=1920/7dd9af90-de11-11ea-ae0b-750b7d88fab7-Tatiana-yacht-Bilgin-2.jpg 
